Intervention_ID,Tag,Misinfo,Misinfo_Answer,Trust,TrustScore,Child,Gender,Race,BreastCancer,Familiarity,General,Correct,CorrectUnsure,Adherence,AdherenceUnsure ,Unsure,Participant_ID
Baseline,breastfeed_2,False,False,True,5,True,Female,White,True,False,False,1,1,1,1,0,65ca4be949cccdf18554e14d
Baseline,lung,True,True,False,2,True,Female,White,True,False,False,0,1,0,1,1,65ca4be949cccdf18554e14d
Baseline,lung_2,True,True,False,2,True,Female,White,True,False,False,0,1,0,1,1,65ca4be949cccdf18554e14d
Baseline,rsv,True,True,False,3,True,Female,Asian,True,True,False,0,0,1,1,0,63cfff59a184313f875f6a06
Baseline,cosleep,False,False,False,3,True,Female,Asian,True,True,True,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,hrt,True,False,False,3,True,Female,Asian,True,True,False,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,rsv_2,True,False,False,3,True,Female,Asian,True,True,False,0,0,0,0,0,63cfff59a184313f875f6a06
Baseline,texas,True,True,False,3,True,Female,Asian,True,True,False,0,0,1,1,0,63cfff59a184313f875f6a06
Baseline,formula_2,True,True,False,3,True,Female,Asian,True,True,False,1,1,0,0,0,63cfff59a184313f875f6a06
Baseline,cosleep_2,False,False,False,3,True,Female,Asian,True,True,False,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,formula,True,True,False,3,True,Female,Asian,True,True,False,0,0,0,0,0,63cfff59a184313f875f6a06
Baseline,hrt_2,True,True,False,3,True,Female,Asian,True,True,False,0,0,1,1,0,63cfff59a184313f875f6a06
Baseline,papsmear,False,False,False,3,True,Female,Asian,True,True,False,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,papsmear_2,False,False,False,3,True,Female,Asian,True,True,False,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,mammogram,False,False,False,3,True,Female,Asian,True,True,False,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,IUD,False,False,False,3,True,Female,Asian,True,True,True,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,IUD_2,False,False,False,3,True,Female,Asian,True,True,False,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,breastfeed,False,False,False,3,True,Female,Asian,True,True,True,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,breastfeed_2,False,False,False,3,True,Female,Asian,True,True,False,1,1,1,1,0,63cfff59a184313f875f6a06
Baseline,lung,True,True,False,3,True,Female,Asian,True,True,False,0,0,1,1,0,63cfff59a184313f875f6a06
Baseline,lung_2,True,True,False,3,True,Female,Asian,True,True,False,0,0,0,0,0,63cfff59a184313f875f6a06
Baseline,rsv,True,True,True,4,False,Female,White,True,True,False,0,0,1,1,0,6535874da4c41c6b75cd8645
Baseline,cosleep,False,False,True,4,False,Female,White,True,True,True,1,1,1,1,0,6535874da4c41c6b75cd8645
Baseline,hrt,True,False,True,4,False,Female,White,True,True,False,1,1,1,1,0,6535874da4c41c6b75cd8645
Baseline,rsv_2,True,False,True,4,False,Female,White,True,True,False,1,1,1,1,0,6535874da4c41c6b75cd8645
Baseline,texas,True,True,False,3,False,Female,White,True,True,False,0,0,1,1,0,6535874da4c41c6b75cd8645
Baseline,formula_2,True,True,True,4,False,Female,White,True,True,False,1,1,0,0,0,6535874da4c41c6b75cd8645
Baseline,cosleep_2,False,False,True,4,False,Female,White,True,True,False,1,1,1,1,0,6535874da4c41c6b75cd8645
Baseline,formula,True,True,True,4,False,Female,White,True,True,False,1,1,0,0,0,6535874da4c41c6b75cd8645
Baseline,hrt_2,True,True,True,4,False,Female,White,True,True,False,1,1,0,0,0,6535874da4c41c6b75cd8645
Baseline,papsmear,False,False,True,4,False,Female,White,True,True,False,0,0,0,0,0,6535874da4c41c6b75cd8645
Baseline,papsmear_2,False,False,True,4,False,Female,White,True,True,False,1,1,1,1,0,6535874da4c41c6b75cd8645
Baseline,mammogram,False,False,True,4,False,Female,White,True,True,False,1,1,1,1,0,6535874da4c41c6b75cd8645
Baseline,IUD,False,False,True,4,False,Female,White,True,True,True,1,1,1,1,0,6535874da4c41c6b75cd8645
Baseline,IUD_2,False,False,True,4,False,Female,White,True,True,False,1,1,1,1,0,6535874da4c41c6b75cd8645
Baseline,breastfeed,False,False,True,4,False,Female,White,True,True,True,1,1,1,1,0,6535874da4c41c6b75cd8645
Baseline,breastfeed_2,False,False,True,4,False,Female,White,True,True,False,1,1,1,1,0,6535874da4c41c6b75cd8645
Baseline,lung,True,True,True,4,False,Female,White,True,True,False,0,0,1,1,0,6535874da4c41c6b75cd8645
Baseline,lung_2,True,True,True,4,False,Female,White,True,True,False,1,1,0,0,0,6535874da4c41c6b75cd8645
Baseline,rsv,True,True,True,4,False,Other,White,False,True,False,1,1,0,0,0,615cfc2c22044e5e9c5c62f3
Baseline,cosleep,False,False,True,4,False,Other,White,False,True,True,1,1,1,1,0,615cfc2c22044e5e9c5c62f3
Baseline,hrt,True,False,False,3,False,Other,White,False,True,False,1,1,1,1,0,615cfc2c22044e5e9c5c62f3
Baseline,rsv_2,True,False,True,4,False,Other,White,False,True,False,0,0,0,0,0,615cfc2c22044e5e9c5c62f3
Baseline,texas,True,True,True,4,False,Other,White,False,True,False,0,0,1,1,0,615cfc2c22044e5e9c5c62f3
Baseline,formula_2,True,True,True,4,False,Other,White,False,True,False,0,0,1,1,0,615cfc2c22044e5e9c5c62f3
Baseline,cosleep_2,False,False,True,4,False,Other,White,False,True,False,1,1,1,1,0,615cfc2c22044e5e9c5c62f3
Baseline,formula,True,True,True,4,False,Other,White,False,True,False,0,0,1,1,0,615cfc2c22044e5e9c5c62f3
Baseline,hrt_2,True,True,False,3,False,Other,White,False,True,False,1,1,0,0,0,615cfc2c22044e5e9c5c62f3
Baseline,papsmear,False,False,True,4,False,Other,White,False,True,False,1,1,1,1,0,615cfc2c22044e5e9c5c62f3
Baseline,papsmear_2,False,False,True,4,False,Other,White,False,True,False,1,1,1,1,0,615cfc2c22044e5e9c5c62f3
Baseline,mammogram,False,False,True,4,False,Other,White,False,True,False,1,1,1,1,0,615cfc2c22044e5e9c5c62f3
Baseline,IUD,False,False,True,4,False,Other,White,False,True,True,1,1,1,1,0,615cfc2c22044e5e9c5c62f3
Baseline,IUD_2,False,False,True,4,False,Other,White,False,True,False,1,1,1,1,0,615cfc2c22044e5e9c5c62f3
Baseline,breastfeed,False,False,True,4,False,Other,White,False,True,True,1,1,1,1,0,615cfc2c22044e5e9c5c62f3
Baseline,breastfeed_2,False,False,True,4,False,Other,White,False,True,False,1,1,1,1,0,615cfc2c22044e5e9c5c62f3
Baseline,lung,True,True,True,4,False,Other,White,False,True,False,0,0,1,1,0,615cfc2c22044e5e9c5c62f3
Baseline,lung_2,True,True,True,4,False,Other,White,False,True,False,0,1,0,1,1,615cfc2c22044e5e9c5c62f3
Baseline,rsv,True,True,True,4,False,Male,White,False,True,False,0,0,1,1,0,6038743a95e000257b4fefdd
Baseline,cosleep,False,False,True,5,False,Male,White,False,True,True,1,1,1,1,0,6038743a95e000257b4fefdd
Baseline,hrt,True,False,True,4,False,Male,White,False,True,False,1,1,1,1,0,6038743a95e000257b4fefdd
Baseline,rsv_2,True,False,True,4,False,Male,White,False,True,False,0,0,0,0,0,6038743a95e000257b4fefdd
Baseline,texas,True,True,True,4,False,Male,White,False,True,False,0,0,1,1,0,6038743a95e000257b4fefdd
Baseline,formula_2,True,True,False,1,False,Male,White,False,True,False,0,1,0,1,1,6038743a95e000257b4fefdd
Baseline,cosleep_2,False,False,True,5,False,Male,White,False,True,False,0,0,0,0,0,6038743a95e000257b4fefdd
Baseline,formula,True,True,False,1,False,Male,White,False,True,False,0,1,0,1,1,6038743a95e000257b4fefdd
Baseline,hrt_2,True,True,True,4,False,Male,White,False,True,False,0,0,1,1,0,6038743a95e000257b4fefdd
Baseline,papsmear,False,False,True,5,False,Male,White,False,True,False,1,1,1,1,0,6038743a95e000257b4fefdd
Baseline,papsmear_2,False,False,True,5,False,Male,White,False,True,False,1,1,1,1,0,6038743a95e000257b4fefdd
Baseline,mammogram,False,False,True,5,False,Male,White,False,True,False,1,1,1,1,0,6038743a95e000257b4fefdd
Baseline,IUD,False,False,True,5,False,Male,White,False,True,True,1,1,1,1,0,6038743a95e000257b4fefdd
Baseline,IUD_2,False,False,True,5,False,Male,White,False,True,False,1,1,1,1,0,6038743a95e000257b4fefdd
Baseline,breastfeed,False,False,True,4,False,Male,White,False,True,True,1,1,1,1,0,6038743a95e000257b4fefdd
Baseline,breastfeed_2,False,False,True,4,False,Male,White,False,True,False,1,1,1,1,0,6038743a95e000257b4fefdd
Baseline,lung,True,True,False,2,False,Male,White,False,True,False,0,0,1,1,0,6038743a95e000257b4fefdd
Baseline,lung_2,True,True,False,2,False,Male,White,False,True,False,1,1,0,0,0,6038743a95e000257b4fefdd
Baseline,rsv,True,True,True,5,False,Male,2 or more races,True,True,False,0,0,1,1,0,60dd16a6d16ec5f253b2e29e
Baseline,cosleep,False,False,True,5,False,Male,2 or more races,True,True,True,1,1,1,1,0,60dd16a6d16ec5f253b2e29e
Baseline,hrt,True,False,True,5,False,Male,2 or more races,True,True,False,1,1,1,1,0,60dd16a6d16ec5f253b2e29e
Baseline,rsv_2,True,False,True,5,False,Male,2 or more races,True,True,False,1,1,1,1,0,60dd16a6d16ec5f253b2e29e
Baseline,texas,True,True,True,5,False,Male,2 or more races,True,True,False,0,0,1,1,0,60dd16a6d16ec5f253b2e29e
Baseline,formula_2,True,True,True,5,False,Male,2 or more races,True,True,False,0,0,1,1,0,60dd16a6d16ec5f253b2e29e
Baseline,cosleep_2,False,False,True,5,False,Male,2 or more races,True,True,False,1,1,1,1,0,60dd16a6d16ec5f253b2e29e
Baseline,formula,True,True,True,5,False,Male,2 or more races,True,True,False,0,0,1,1,0,60dd16a6d16ec5f253b2e29e
Baseline,hrt_2,True,True,True,5,False,Male,2 or more races,True,True,False,1,1,0,0,0,60dd16a6d16ec5f253b2e29e
Baseline,papsmear,False,False,True,5,False,Male,2 or more races,True,True,False,1,1,1,1,0,60dd16a6d16ec5f253b2e29e
Baseline,papsmear_2,False,False,True,5,False,Male,2 or more races,True,True,False,1,1,1,1,0,60dd16a6d16ec5f253b2e29e
Baseline,mammogram,False,False,True,5,False,Male,2 or more races,True,True,False,1,1,1,1,0,60dd16a6d16ec5f253b2e29e
Baseline,IUD,False,False,True,5,False,Male,2 or more races,True,True,True,1,1,1,1,0,60dd16a6d16ec5f253b2e29e
Baseline,IUD_2,False,False,True,5,False,Male,2 or more races,True,True,False,1,1,1,1,0,60dd16a6d16ec5f253b2e29e
Baseline,breastfeed,False,False,True,5,False,Male,2 or more races,True,True,True,1,1,1,1,0,60dd16a6d16ec5f253b2e29e
Baseline,breastfeed_2,False,False,True,5,False,Male,2 or more races,True,True,False,1,1,1,1,0,60dd16a6d16ec5f253b2e29e
Baseline,lung,True,True,True,5,False,Male,2 or more races,True,True,False,0,0,1,1,0,60dd16a6d16ec5f253b2e29e
Baseline,lung_2,True,True,True,5,False,Male,2 or more races,True,True,False,0,0,1,1,0,60dd16a6d16ec5f253b2e29e
Baseline,rsv,True,True,True,4,True,Female,Black,False,True,False,0,0,1,1,0,65c8926a097bd8b7a1d1f29c
Baseline,cosleep,False,False,True,4,True,Female,Black,False,True,True,1,1,1,1,0,65c8926a097bd8b7a1d1f29c
Baseline,hrt,True,False,True,4,True,Female,Black,False,True,False,1,1,1,1,0,65c8926a097bd8b7a1d1f29c
Baseline,rsv_2,True,False,True,4,True,Female,Black,False,True,False,0,0,0,0,0,65c8926a097bd8b7a1d1f29c
Baseline,texas,True,True,True,4,True,Female,Black,False,True,False,0,0,1,1,0,65c8926a097bd8b7a1d1f29c
Baseline,formula_2,True,True,True,4,True,Female,Black,False,True,False,0,0,0,0,0,65c8926a097bd8b7a1d1f29c
Baseline,cosleep_2,False,False,True,4,True,Female,Black,False,True,False,1,1,1,1,0,65c8926a097bd8b7a1d1f29c
Baseline,formula,True,True,True,4,True,Female,Black,False,True,False,0,0,0,0,0,65c8926a097bd8b7a1d1f29c
Baseline,hrt_2,True,True,True,4,True,Female,Black,False,True,False,0,0,0,0,0,65c8926a097bd8b7a1d1f29c
Baseline,papsmear,False,False,True,4,True,Female,Black,False,True,False,0,0,0,0,0,65c8926a097bd8b7a1d1f29c
Baseline,papsmear_2,False,False,True,4,True,Female,Black,False,True,False,1,1,1,1,0,65c8926a097bd8b7a1d1f29c
Baseline,mammogram,False,False,True,4,True,Female,Black,False,True,False,1,1,1,1,0,65c8926a097bd8b7a1d1f29c
Baseline,IUD,False,False,True,4,True,Female,Black,False,True,True,1,1,1,1,0,65c8926a097bd8b7a1d1f29c
Baseline,IUD_2,False,False,True,4,True,Female,Black,False,True,False,1,1,1,1,0,65c8926a097bd8b7a1d1f29c
Baseline,breastfeed,False,False,True,4,True,Female,Black,False,True,True,1,1,1,1,0,65c8926a097bd8b7a1d1f29c
Baseline,breastfeed_2,False,False,True,4,True,Female,Black,False,True,False,1,1,1,1,0,65c8926a097bd8b7a1d1f29c
Baseline,lung,True,True,True,4,True,Female,Black,False,True,False,0,0,1,1,0,65c8926a097bd8b7a1d1f29c
